dataset,horizon,mse_norm,mae_norm,status,report_file
Weather.csv,96,,,skipped_existing,result/Weather/DUET_localbranch_all/test_report.1777642227.asimov2c.104569.csv
Weather.csv,192,,,skipped_existing,result/Weather/DUET_localbranch_all/test_report.1777642227.asimov2c.104569.csv
Weather.csv,336,,,skipped_existing,result/Weather/DUET_localbranch_all/test_report.1777642227.asimov2c.104569.csv
Weather.csv,720,,,skipped_existing,result/Weather/DUET_localbranch_all/test_report.1777642227.asimov2c.104569.csv
Wind.csv,96,,,skipped_existing,result/Wind/DUET_localbranch_all/test_report.1777583629.asimov2c.4084835.csv
Wind.csv,192,,,skipped_existing,result/Wind/DUET_localbranch_all/test_report.1777583629.asimov2c.4084835.csv
Wind.csv,336,,,skipped_existing,result/Wind/DUET_localbranch_all/test_report.1777583629.asimov2c.4084835.csv
Wind.csv,720,,,skipped_existing,result/Wind/DUET_localbranch_all/test_report.1777583629.asimov2c.4084835.csv
ZafNoo.csv,96,,,skipped_existing,result/ZafNoo/DUET_localbranch_all/test_report.1777583655.asimov2c.4084842.csv
ZafNoo.csv,192,,,skipped_existing,result/ZafNoo/DUET_localbranch_all/test_report.1777583655.asimov2c.4084842.csv
ZafNoo.csv,336,,,skipped_existing,result/ZafNoo/DUET_localbranch_all/test_report.1777583655.asimov2c.4084842.csv
ZafNoo.csv,720,,,skipped_existing,result/ZafNoo/DUET_localbranch_all/test_report.1777583655.asimov2c.4084842.csv
